曲名,歌詞
同じ空の下で,飛行機雲が一筋流れる　空を見上げた　その少年はあどけなかった　あの頃の僕を　思わせるような蒼さに満ちて大きな夢とたくさんの希望に　溢れてたあの日が蘇るいつの間にか　バランスを変えてた　心にそっと語りかけてくるんだ壊れた夢は　また積み上げりゃいい譲れない思いがある限り　繋がってゆくそうさ　僕らの願いは同じ未来へ果てしない旅路のその途中で僕らはこうして　時に振り返りながら世界中の希望を掻き集めてその手のひらに　今日から　少しずつ手渡してゆこう何も知らずに僕らは生まれて　何か求めて　歩んでゆく嫌になるほど　抱える今だけど　きっと余計なものなどないんだいつかは　誰もが同じように守るべき何かを見つけてゆくどんな風に　僕ら　伝えようか　ここにある未来をもしもあの日の僕にたった1つ伝えられるとしたら　迷いはしないよ忘れないで　きっとすぐそこにある君の望みへ　願いへ　導いてくれる答えが遥かな道を行く　僕らの物語を彩るすべてが　今は愛おしい思いが重なった　この瞬間追い掛けてみようか　あの飛行機雲…走れ！同じ空の下で果てしない旅路のその途中で僕らはこうして　時に振り返りながら世界中の希望を掻き集めてその手のひらに　今日から　少しずつ手渡してゆこう
On Sunday,"みんなどんな暮らしなんだろ散歩日和　休日犬を連れてる家族やいろんなカップルみんな妙に幸せそうそれは木もれ日のせいそれぞれ生きるウィークデイトラブッたりするさこのごろ君はなにを考えてるの今夜　Check Check Checkバイトマニアで　暇のない友達は元気でやってるかなThere're So Many Many People生活している特別なドラマはなくってもEverybody Knows, Everybody Wants To しあわせそれってイイよねMany Many People明日は月よう無意識のプレッシャーに慣れながらつかの間やすらぐ On Sundayみんな愛し合ってるのかな自転車たち過ぎてく風が生まれるみたいに気持ちも揺れるみんな秘密とかあるよね見つめ合ってる恋人いつかケンカになる時あきらめちゃダメさ僕だけひとり　なんか肩身が　せまい街は　Shine Shine Shine誇れるくらい　似たような毎日を重ねて生きてこうThere're So Many Many People生活している気づかない早さで年をとるEverybody Knows, Everybody Wants To 夢見るひとってシンプルMany Many People知らない未来に頼りなく近づくたましいに陽射しそそいでる On SundayYeahI must do it　トビオキヨウin Monday morning lightMaybe I'll see you　マチドウシイヨOn Wednesday nightBaby Come on, Come on, Come onIt's a busy FridayドトウダゼEveryday pass quickly Yeah親たちのこと　わりと認めてるんだだから Believe Believe Believe恋したひとと 生きていけたらいいなむずかしいことじゃないThere're So Many Many People生活している特別なドラマはなくってもEverybody Knows, Everybody Wants To しあわせそれってイイよねMany Many People明日は月よう無意識のプレッシャーに慣れながらつかの間やすらぐ On SundayYeahI must do it　トビオキヨウin Monday morning lightMaybe I'll see you　マチドウシイヨOn Wednesday nightBaby Come on, Come on, Come onIt's a busy FridayドトウダゼEveryday pass quickly Yeah"
ONLY LOVE,"Only love　愛はきっと　疑わないことだよOnly love　いつでも君だけが　この僕の光さ分かった振りした恋愛っていうなら　してきたつもりさこんなに心が乱れる想いは今まで出逢わなかったそんなに強がらないで心のままいればいい僕らはひとつになる涙もいまわけあおうOnly love　愛する気持ちは　僕たちに勇気をくれるよOnly love　見つめるふたりは　Never ever want　宇宙が包むよ愛のシルシ　この季節へといま　残し歩こう古びた写真に僕らはたくさんの宝物　写してゆこう迷いも君がいるだけですべてが消えてしまう心が優しくなるよ喜びあえる気持ちさOnly love　世界にひとつの　大切な愛に出逢えたOnly love　未来を見渡せば　Never ever want　ふたりがいるはず自分より大切なものを so初めてさ見つけたよ心の中までを見せたいな全部君さBaby come on, come on. Lets get it on.so Baby come on. come on Yea好きさ朝も昼も夜もずっとずっとずっとLovin'Only you　心に誓うよ　Only you　想いは永遠にOnly you　そらさず　Only you　君だけ見ているOnly love　愛する気持ちは　僕たちに勇気をくれるよOnly love　見つめるふたりは　Never ever want　宇宙が包むよOnly love　世界にひとつの　大切な愛に出逢えたOnly love　未来を見渡せば　Never ever want　ふたりがいるはず"
Oh Yeah!,暗闇に震えてる　君の声聞こえたよ見えない　消えない　時の中で　何か探してたどうして望んだもの　見えそうで見えなくてバイト帰り　君と二人　待ち合わせた夜自転車の後ろに　君の体温乗せて　明け方に翔る　静寂の路(みち)を　負ける　戦(いくさ)はしないよキラキラ　二人だけの　朝と自由両手　高く上げて　この地球(ほし)をささえて　歌った僕ら天に届け　舞い上がれ　Oh Yeah!もう一度　あの日に戻るとしても　おなじ路(みち)　選ぶだろう一つになれ　舞い上がれ　Oh Yeah!　近づいてる朝焼けの校庭に　埋めた君への手紙一つ前の駅で降りて　超えた歩道橋何気ない思い出と　痛みの数ならべたって遠いあの日　君と二人　約束した朝いつからか少年は　涙のわけを知り　心で泣いて　顔は笑うんだ　咲いて　歩いてゆくんだ午前九時　街が動く　二人乗せて両手　高く上げて　この地球(ほし)をささえて　歌った僕ら天に届け　舞い上がれ　Oh Yeah!もう一度　あの日に戻るとしても　おなじ路(みち)　選ぶだろう一つになれ　舞い上がれ　Oh Yeah!　近づいてる自転車の後ろに　君の体温乗せて　明け方に翔(かけ)る　静寂の路(みち)を　負ける　戦(いくさ)はしないよキラキラ　二人だけの　朝と自由両手高く上げて　この地球(ほし)をささえて　歌った僕ら天に届け　舞い上がれ　Oh Yeah!もう一度　あの日に戻るとしても　おなじ路(みち)　選ぶだろう一つになれ　舞い上がれ　Oh Yeah!　近づいてるWow Wow…
OK!ALL RIGHT! いい恋をしよう,何気なく　君が僕の名前呼ぶ　その声を僕は一生　忘れないのさ　胸にこだまする二人で　時をかさねるうちに　呼び方も変わるんだろういろんな　君の僕を呼ぶ声　体中響かせたいすべてOK!　ぜんぶALL RIGHT!うまくゆく　問題ないねいつもOK!　つねにALL RIGHT!いい恋をしよう　そうしよう無意識に自意識過剰　ジグザグの十代をまっすぐに　進んでゆこう　その手をはなさない二人で　季節越えてくたびに　暑い日寒い日もあるそれでも　互いの体温で　心はぐっと快適さすべてOK!　ぜんぶALL RIGHT!順風に　帆をあげろいつもOK!　つねにALL RIGHT!いい恋をしよう　そうしよう日本の　どこかで　今も恋が生まれる世界の　人から　祝福のメールが届きだす二人で　時をかさねるうちに　呼び方も変わるんだろういろんな　君の僕を呼ぶ声　体中響かせたいすべてOK!　ぜんぶALL RIGHT!うまくゆく　問題ないねいつもOK!　つねにALL RIGHT!いい恋をしよう　そうしようすべてOK!　ぜんぶALL RIGHT!順風に　帆をあげろいつもOK!　つねにALL RIGHT!いい恋をしよう　そうしようすべてOK!　ぜんぶALL RIGHT!順風に　帆をあげろいつもOK!　つねにALL RIGHT!いい恋をしよう　そうしよう
over,頼りなく色付いた　薄紅の空を見上げたやけに遠くに響く　いつもの電車の音上書きされる日々も　読みかけの愛も　幾つも捨てられない切なさも　「丁度いい」と呟いたこの手に触れたのは　こんなにもやわらかな風誰もが願う明日へ　叶えたい想いを強く強く重ね続けてる今をこの胸に　いつまでも歩いて行く変われない迷いの中　綴った手紙のあの言葉何処かの街角で見かけた　見知らぬ誰かの歌もう今は違ってても　そう今も心の中に行き交う人の波に　立ち尽くす時が来るとしても譲れない願いを　いつの日かこの腕に掴み取るまで夢の後先の傷跡に残す誓い　大切なもの消えぬ想い　またひとつ見えた　言葉では足りないから　求めて全て見てみたい誰もが願う明日へ　叶えたい想いを強く強く重ね続けてる今をこの胸に　いつまでも歩いて行くいつか掴みたい
Overture,窓から光漏れ cock-a-doodle-dooそして昨日のもやもや　ろ過するまずお茶すする　鏡に映るふとまぶたをこする　空を向く(cock-a-doodle-doo)あとはお決まりのジェットコースター気持ち溢れ出るまでにポンプ count down5 4 3 2 1 in Ur mindyeah 1 2 5君で 3 4がない right?
オーライ!!,オーライ！いつだってクールじゃいられない　オーライ！諸行無常だって浮き世Drive　オーライ　オーライ　オーライ！さぁ　出掛けようぜ　一寸先の闇を照らせよ泥まみれても気にしない　オーライ！　オーライ！　オーライ！　オーライ！オーライ！　オーライ！　オーライ！　オーライ！上がれ上がれ　Oh Oh　上がり続けたらOh Oh　雲を突き抜けて　ちっぽけなことだと行ったり来たり　堂々巡りはもうやめたもっと騒がしい音を鳴らせよ　鼓膜振わせろ！　Hey Hey HeyGimme gimme more!　止めどない衝動　刺激が足りないのさバラバラ　アンバランスだったって　もう　Hey Hey Hey誰にもマネできない方法で　突き抜けたいから　ギラギラ燃やすんだぜオーライ！　オーライ！　オーライ！　オーライ！誰だってはじめは危なっかしい　オーライ！いっそハデにやりゃ後悔ない　オーライ　オーライ　オーライ！さぁ　楽しもうぜ　リスクはスリル　そうだろう？笑いたいヤツは笑え　オーライ！　オーライ！　オーライ！　オーライ！オーライ！　オーライ！　オーライ！　オーライ！走れ走れ　Oh Oh　走り出したならOh Oh　ブレーキはいらないぜ　考え過ぎるなんて右に左　往々してるヒマあんならもっと踏み込めるものがあるだろう？　振り切れるほど！　Hey Hey HeyVery very good!　Ready go!　行こうよ　わがままなスピードでNever never say never!　言わない　もう　Hey Hey Heyまだまだ終わらない夢を　夢見てたいから　キラキラしてるんだぜ簡単にいかないからこそ　まわるこの世界は楽しいとらわれたセオリー捨てろ　頭を空っぽに　あとは感じるままにGimme gimme more!　止めどない衝動　刺激が足りないのさバラバラ　アンバランスだったって　もう　Hey Hey Hey誰にもマネできない方法で　突き抜けたいから　ギラギラ燃やすんだぜキラキラしてるんだぜ　これからはじまりだぜオーライ！　オーライ！　オーライ！　オーライ！オーライ！　オーライ！　オーライ！　オーライ！
always,きっと巡り会うために…どれだけ君と　歩いたんだろう?　変わってく景色の中色を重ねてゆく度に　世界は輝きを知るきっと時代が変わっても　季節は巡り来るだろう色とりどりの夢を抱えて出逢いと別れの中で　生きてゆく意味を僕たちは探すのだろう君の手に　触れるとき　感じている温もりは　傷みさえ　包み込んだ君と僕はここで出逢うために　きっと　生まれてきた涙零(こぼ)れそうな時はいつでも　僕が受け止める星の瞬きも　風のささやきも君を感じてる　共に生きてゆく　my heartいつからだろう　怖くなかった　想いは変わらないまま時が流れてゆく度に　強い絆　結ばれる離れても　いつまでも　感じている僕の声　やわらかな　風に乗せて君と僕は同じ星の上で　ずっと　奇跡を見るたとえ小さくても確かなものを　僕は信じてる君が悲しみに　染まらないように僕はいつでも　そばにいるよ　my heartきっと巡り会うために…君と僕はここで出逢うために　きっと　生まれてきた涙零(こぼ)れそうな時はいつでも　僕が受け止める星の瞬きも　風のささやきも君を感じてる　共に生きてゆく　my heart
ALL or NOTHING Ver.1.02,ジャニーズ代表　嵐　is in da house yoそう　これが　ALL or NOTHING(that's right yo)S.H.O.W spilling words on this trackbring it on like thisyeah check it雲もない空　ほらもたもた模索せずに余暇楽しんだ方が今日は消化にも良さそうだ時には部屋でかけるボサノヴァ外で奴とChillゆったりと話し込んで明日を見る枠を切る事により　明日を知るYou know what I mean?何でもない日常の意味を誰に問う事なく生きよう意気投合して　over the night終わらない横にいるのは君か？確信ないまま　I'm singing now想いだけが胸で息づくいついつまでも　I wanna be w/z U言わなきゃならない言葉も　(名前さえ　思い出せない歌が)言わなくたってわかる言葉も　(聴こえてる　夜を街の空を　引き裂く)君の横顔みてた放課後　(誰一人　記憶にさえなれずに)口ずさんでいた頃の歌を　(唇を　離れていく)(×4)「こんな毎日がとにかく最高だ」そう思わせてくれる相棒達うざい様な　いない方がいいとかでなく一生一緒にいたいようだ昨日は遠すぎるいわば心の移動が多すぎる落ちつかせてる疲れる大人スピーカー奥で流れる音が言わなきゃならない言葉も　(名前さえ　忘れ去られた歌が)言わなくたってわかる言葉も　(流れてる　僕の君の心を　つらぬく)君の横顔みてた放課後　(いつの日か　思い出になるために)口ずさんでいた頃の歌を　(メロディは　生まれていく)(×4)名前さえ　思い出せない歌が聴こえてる　夜を街の空を　引き裂く誰一人　記憶にさえなれずに唇を　離れていく言わなきゃならない言葉も言わなくたってわかる言葉も君の横顔みてた放課後口ずさんでいた頃の歌を(×4)Keep it on like this2002 peace
Count on me,"Turn it up！　Perfect enough！Everything's gonna change！　思うがままにBaby, it's time to be螺旋階段上(のぼ)れば　そこは　既にPlaygroundいくぜ　Get you to dance　＜Can't you do this！？＞エゴなNavigator　超絶のPassion飽和するEvery day　＜We just say good-bye！＞Hacking　さぁ乗り込んでくダンジョンゴージャスなSplendor　とめどないRun beat＜What's going on？＞Black out　息止まるほどCrazy冷めたAmbition　エンジン掛けて　Let's go真の欲求　満たすのさ　Till the morning comes常識のゲージを越えてリプレイなんて出来ない　今宵限りのMoments揺らせ！　All by myselfド派手にJust speed it up　シンクロしてゆくPersons鳴り響くSuper bass　さぁ踊ろうよ！散々な昨日も　早々に忘れFly翳(かげ)りもなく　Show you how we party！＜Drive＞煌めく世界へ　＜Up＞きっと連れ出すから“自由”ってFlavorを　吸い込めばStay hot天井知らずのシンパシーで　Stayin' awakeHey！ Are you ready？なんてNo more聞く必要はないでしょ？望み通りGet high　＜We just kick it out！＞Tripping　ジュエリーな空間でその身　心も　溶かしてSwim in＜Going deeper＞Chase out　華麗に破天荒なOne scene本気で遊んでこそ　Mr. Fantasticスクリーン越し　いつか観た　Freaky world現在(いま)と重ね合わせてカリスマなプレイリスト　愉しんでいって頂戴刻め！　All by yourself足りないマテリアル　埋め合う　こんなConnection誰も彼も感じる　Sensation予定調和抜け　全開で騒げば此処はまるで　Like a diamond dust＜Shout＞A to Zのスベテを　＜Loud＞何度も叫ぶから繰り返すOver flow　そうさPay attentionFancyな予感が紡いでく　So precious！劈(つんざ)くような閃光(ひかり)のシャワー　サラウンドする音のMirageでこのまま　もっと酔いしれてSwayed...Let's keep groovin' on tonightTurn it up！　Perfect enough！Everything's gonna change！　思うがままにド派手にJust speed it up　シンクロしてゆくPersons鳴り響くSuper bass　さぁ踊ろうよ！散々な昨日も　早々に忘れFly翳(かげ)りもなく　Show you how we party！＜Drive＞煌めく世界へ　＜Up＞きっと連れ出すから“自由”ってFlavorを　吸い込めばStay hot天井知らずのシンパシーで　Stayin' awake"
駆け抜けろ！,Seize the day...風を切る音だけが　バックシート通り抜けて気にしてた　些細なこと　忘れてくのさ (Just so hard)追いついた気がしたって　またすぐ遠ざかるのが君みたい　テールランプを　眺めてるだけ決して手に掴めない　君の心に (Your heart)触れたい気持ちが　アクセル踏むからどこだって行くんだ最高な瞬間を胸に焼き付けて　その先へ (Yes!) 走るのさ (Yes!)時々Up & Down まだ誰も知らぬ　景色目指してたとえ遠回りでも　自由を求めて　成り行きまかせのCrossroadこの瞬間　僕ら信じたら行こう駆け抜けろ!窓ガラス打ちつける　突然の雨に降られふと君の　あの笑顔が　胸をかすめる計算したって明日は分からないから (My heart)二度とは戻れない　現在(いま)を生きている楽しんだらいいんだ!いつだって感じたことが真実さ　迷わずに (Yes!) 追いかけろ (Yes!)時間は無情に過ぎてゆく　だから立ち止まらずにどこを探してみても　理由はないから　すべてを受け止めて行こうほら心配なんて全部　今ここに置いていこう!ハンドル切った先に　待ち受けてるのは一体どんな世界なんだろう楽して過ごす　そんな人生は　求めちゃいないどこだって行くんだ最高な瞬間を胸に焼き付けて　その先へ (Yes!) 走るのさ (Yes!)時々Up & Down まだ誰も知らぬ　景色目指してたとえ遠回りでも　自由を求めて　成り行きまかせのCrossroadこの瞬間　僕ら信じたら行こう駆け抜けろ!
kagero,焼け付くような　空に誘われて伸ばした手は　何を求めてる?果てしなく　遠く　長く　続く　道の先に青く光る　始まりの場所がある鳴り止まない赤いサイレン　誰にもまだ聞こえない止まることを知らない導かれた地平線に　青い陽炎　揺れているいつまでも　この気持ち　無くさない微笑むような　月に照らされて羽を休めた　鳥は夢の中人知れず　深く　深く　潜る　闇の中で生まれ変わる　始まりの時間が来る辿り着いた答えはまだ　全てじゃないこの世界光と影を抱いて溢れ出した涙　僕の迷いさえも　溶かしてよ太陽が　この背中　押しているこの旅の果てに　何を見るのだろう?鳴り止まない赤いサイレン　誰にもまだ聞こえない止まることを知らない導かれた地平線に　青い陽炎　揺れているいつまでも　この気持ち　無くさない
風見鶏,風見鶏　夏の終わりを遠くに見て何想うつゆくさに想いを馳(は)せて　駆け抜けた頃に戻って歩き疲れてた僕に空がやさしく見えるまで風音に誘われ君の生まれた場所へ二人方言混じりの声　君がもっと愛おしくなって夕焼け空の下　明日は晴れるかな靴を空高く蹴飛ばしてみたり茜さす空を見上げて　僕の知らない君になって土手に咲く花を見下ろし　微笑み返す僕になった重ね合わす記憶に君が溶け込む　それだけで虫カゴたすきに掛け　すり傷作りながら見てた空に浮かぶ雲に　夢を乗せて時を留めて校庭の鉄棒で逆上がり出来るかな肩を寄り添えば君とキスしてた風見鶏　夏の終わりを遠くに見て何想うつゆくさに思いを馳(は)せて　駆け抜けた頃に戻って僕の知らない景色に僕が溶け込む　それだけで風のない街で暮らし慣れてたけど僕と風見鶏　探しあてた空茜さす空を見上げて　僕の知らない君になって土手に咲く花を見下ろし　微笑み返す僕になった切なくてただ愛しくて　暮れゆく夏　風になって瞳閉じて耳を澄ませば　僕と君の未来になった僕と君の未来になった…
風,抱き合いながら　浜辺で寝ころんだ雲ひとつ無い空が　なんか寂しくて　そう　きっと短い夏を　僕らは駆け抜けた日焼けの色は　いつか消えて切ないね　今を忘れそう自分を映して夕陽を見てた　ありがとうって照れないでも　真っ直ぐ言えるように何もかも捨てて　今をもう一度　時間を止めて描いた理想　願いは助走だって信じたら　羽ばたけるよまたいつか　ここで集まって　話すときには自分の風　旅した日々の足跡を　波が包んでくよ水平線には　夢が浮かんでいた生きる意味ごまかして　見てるなんて切ないね　永遠にころがる叶わない夢が今日も　星になってく果てない海を　優しく照らしてゆくただ　こんな気持ちのまま夏がゆく　自信ないけど想いは空　誓いは雲だって感じたら　飛び立てるよまたいつか　ここで集まって　話すときには今日の風　宇宙の小さな一瞬を　波が包んでくよ短い夏が終わろうとしている僕はただ海辺だけを見ているいまはこうして碧が満ちている空は現在(いま)も僕たちを見ているそうまた集まって　悩んでいたって語って笑って飾っていた自分照らし出す　またあの日の夕日照らし出すはにかむ日々を包んでく　風が僕を包んでる何もかも捨てて　今をもう一度　時間を止めて描いた理想　願いは助走だって信じたら　羽ばたけるよまたいつか　ここで集まって　話すときには自分の風　旅した日々の足跡を　波が包んでくよ
風の向こうへ,雨の向こうへ　風の向こうへ…涙流すのは　信じてるから心のノートに　書いた言葉描いた通りに　いかない時にじんだ空に　放った言葉僕の後ろに出来てた道雨の向こうへ　風の向こうへ　旅は続いていく今　君の向こうへ　そして僕の向こうへ　道は続いていくどこかで振り返る　その時が来て君に話をする　その朝が来ていつでも精一杯　走って来たって嘘偽りなく　言えたらいいんだ僕の目の前に広がる旅雨の向こうで　風の向こうで　虹がかかっている今　君の向こうで　そして僕の向こうで　何かが待っているどうか消えないで繋いだ灯よ　言葉を超え　心を鳴らす今　風の向こうへ旅は続いて　この道は続いて雨の向こうへ　風の向こうへ旅は続いて　道は続いて…信じてきたこの自分のために夢重ねるみんなのために感謝の言葉　for my family“I believe”ただ力の限りその焦りもいつかは糧にこの痛みも糧に雨にも風にも負けずにあの痛みや焦りこの日のためにあなたの分の想いも抱いて階段のぼるよう　上向かって辛くて　苦しくたって　耐えて歓声浴びる姿描いて…光と影その向こうへ　(行こう　向こうへ)闇を照らす君の声　(頂上の方へ　想いを掲げ)雨の向こうへ　風の向こうへ　旅は続いていく今　君の向こうへ　そして僕の向こうへ　道は続いていく雨の向こうへ　今　風の向こうへ旅は続いて　この道は続いて光と影その向こうへ　闇を照らす君の声雨の向こうへ　今　風の向こうへ旅は続いて　この道は続いて雨の向こうへ　今　風の向こうへ旅は続いて　今は向こうへ！
彼方へ,"Sing forever… Evermore地平へと続く夢　朝焼けが染まってくWe get a place to be　見果てぬ景色　望む瞳誰しもがただ1つ　名授かった日から胸を打つ音色(おと)　呼応して奏でるフレーズ今 Sing one life, just sing one love　出逢えた悦(よろこ)び　感じ合いさあ　世界の最果てまでも響かそう Wow「そうだろう？」今日のストーリー　終わらぬメロディ抱いて行こうこのまま Don't stop the music　素晴らしいこの世界駆け抜けたい分け合う温もりを　重ねる優しさを「そうだろう？」ずっとストーリー　止め処ないメロディライン羽ばたかせ今日の陽が昇るまで　音楽がコトバ以上真心(こころ)伝うこと　幾度となく見てきたほら Sing one life, just sing one love　互いの想いを　信じ合いそう　未来は絶えず　変わり続ける“Because you are…”そして　明日のストーリー　果てしないメロディ愛しいほど彼方へ Don't stop dreaming　溢れるこの願い輝きたい譲れぬ約束が　確かな真実がどんなに遠く居ても　伝わるメロディライン聴こえてる鳴り止まないMusic　時代(とき)と共にFeel so alive　鼓動の限りIn my hands In your hands In our hands　今ここで終わらない　温かい　未来の歌を「そうだろう？」今日のストーリー　終わらぬメロディ抱いて行こうこのまま Don't stop the music　素晴らしいこの世界駆け抜けたい分け合う温もりを　重ねる優しさを「そうだろう？」ずっとストーリー　止め処ないメロディラインOur story is nowDon't stop the music…　Never stop the music…終わらないストーリー　果てしないメロディ素晴らしいこの世界　Never ending musicDon't stop the music"
感謝カンゲキ雨嵐,Smile Again I'm Smiling AgainSmile Again I'm Smiling AgainSo So　イイことなんてない方向オンチの情熱Live毎日 a Fool　墓穴掘る Fallだけど何かにあこがれてたい感動しない日々の中で不確かな希望が　Believe In Loveいつか靴底で踏みつけたFaithが君に出会って　血を燃やす砕け散った気分ならためらわずに怒りをヤワな自分自身に向ける　Wow wowまるで　ひとりぼっちだと嘆くそばでガレキに咲いた花がユラユラ見てる誰かが　誰かを支えて生きているんだ単純な　真実が傷をいやしてくSmile Again　ありがとうSmile Again　泣きながら生れてきた僕たちはたぶんピンチに強いSmile Again　君がいてSmile Again　うれしいよ言わないけど　はじめての深い　いとおしさは嵐つらい時は甘えてと強く思う大事な人の愛がハートの包帯　Wow wowウマクなんて生きれないそれは誇り助けてくれた君は同じ眼をしてる余裕をなくして知らずに傷つけたかい許して　許されると人は素直だねSmile Again　ありがとうSmile Again　何度でも立ち上がれる気がしてる僕の勇気は泉Smile Again　ひとりではSmile Again　いられないとまどうほど切実な祈るような　恋は嵐So So　イイことなんてない方向オンチの情熱Live毎日 a Fool　墓穴掘る Fallだけど何かにあこがれてたい感動しない日々の中で不確かな希望が　Believe In Loveいつか靴底で踏みつけたFaithが君に出会って　血を燃やすSmile Again　ありがとうSmile Again　泣きながら生れてきた僕たちはたぶんピンチに強いSmile Again　君がいてSmile Again　うれしいよ言わないけど　はじめての深い　いとおしさは嵐
カンパイ・ソング,カンパーイ！ Oh Yeah！！　カンパーイ！ Oh Yeah！！何飲む？　とりあえずビール！　ハイボール！洒落ちゃったヤツはシャンパン？「じゃあビールの人～？」「はーい！」そこちょっと早いよ　待って待って　遅れたあいつ　イジり決定ビールは何からできているのでしょうさすがの麦芽でしょう　「発酵！発酵！」飲んだくれるその前に写メ撮って　笑ってハイテンションでもう色々ありそうだ　来たよカシスソーダさあヘコタレも　オナヤミも　クタビレも　ツヨガリもごちゃ混ぜ飛び出せそいじゃあ、お疲れ様！ (お疲れ様！)忘れてかすれて (何でもいいって)今宵は飲もうか (今宵は飲もうか)あわてていないで (のんびりおっけー)明日はまださ　先の方さ二杯目まだか？　まあいいっか (はい！)　「さあ、ご一緒に！」カンパーイ！ Oh Yeah！！　カンパーイ！ Oh Yeah！！程よいお酒は身体にいいでしょう　百薬の長でしょう　「血行促進！」難しいことはまあ置いといて　気持ちよく飲んでそう恋の話が好き　それ誰のウイスキー？さあタテマエも　センパイも　キオクレも　コウハイも　気にせずはじけてそいじゃあ、お疲れ様！ (お疲れ様！)水かお湯割りで (ロックもいいって)今宵は飲もうか (今宵は飲もうか)そろそろ日本酒で (なみなみおっけー)〆はまださ　早すぎるさチェイサーまだか？　まあいいっか (はい！)「楽しんでる～？」 (はーい！)「盛り上がってる～？」 (はーい！)「まだまだいける～？」 (はーい！)「あっ、もうこんな時間？」 (ホントだ！)「終電ですね～」 (あーあー)「そろそろ帰りますか？」 (え～！)「もう少し飲んじゃう？」 (いえーい！)「まだまだ一緒に、盛り上がろう！」　カンパーイ！眠っちゃった人 (おやすみなさい)割り込んだ人 (どうぞいらっしゃい)明日もあるんだよ　でも飲みたいよ飲み明かす…？　それもいいんじゃない！そいじゃあ、お疲れ様！　楽しすぎちゃってキリがないな　ラストまでみんなで　はしゃいでおっけーお疲れ様！ (お疲れ様！)次もこのメンツで (楽しみだって)飲み干そうか (飲み干そうか)宴もたけなわで (〆てもおっけー？)明日はまださ　先の方さお会計まだか？　まあいいっか！ (もう一杯！)〆たくないな～　お酒いいな～次があるなら　まあいいっか！　「皆様、ご唱和ください！」バイバーイ！　じゃーね！　バイバーイ！　じゃーね！
CARNIVAL NIGHT part2,きらめく街　輝く夜待ちわびてた　CARNIVAL NIGHT色めき立つ　今宵その夜NIGHT TONIGHTざわめきに　誘われて　ついに出て来てしまった一人では　こんなこと　意味ないと思ってた別れを悔やみながらも　どこかで信じられない人ごみの中　不意に君が　となりで笑っていそう路地では熱いカップル　こっちも通り抜けれない君との最後のキスが　リアルに切なくよぎる稲妻を見たよな　NIGHT TONIGHTCARNIVAL　今は　すべて忘れて　DANCE AROUND悲しみも消えてゆく　夜空の果てへとPARADEが来る　誰もが笑顔になる君に見せたいくらい　CARNIVAL NIGHT TONIGHT(COME ON EVERYBODY LET'S GET DANCE YEAH)きらめく街　輝く夜待ちわびてた　CARNIVAL NIGHT色めき立つ　今宵その夜NIGHT TONIGHTカレンダー　印して　君は楽しみにしてたさよならを　しなければ　二人で来るはずだった会えるかもしれないなんて　どこかで期待していたこんなにすごい人の波じゃ　そばにいても気づかないきれいな女(ひと)はいくらも　いるけど君じゃないのさかわいい女(ひと)はいくらも　見るけど君じゃないのさほとばしる情熱　NIGHT TONIGHTCARNIVAL　今は　すべて受け止め　DANCE AROUND喜びも悲しみも　君との思い出PARADEが行く　思わず声が上がる君に見せたいくらい　CARNIVAL NIGHT TONIGHT(COME ON EVERYBODY LET'S GET DANCE YEAH)路地では熱いカップル　こっちも通り抜けれない君との最後のキスが　リアルに切なくよぎる稲妻を見たよな　NIGHT TONIGHTCARNIVAL　今は　すべて忘れて　DANCE AROUND悲しみも消えてゆく　夜空の果てへとPARADEが来る　誰もが笑顔になる君に見せたいくらい　CARNIVAL NIGHT TONIGHT(COME ON EVERYBODY LET'S GET DANCE YEAH)きらめく街　輝く夜待ちわびてた　CARNIVAL NIGHT色めき立つ　今宵その夜朝まで続く　CARNIVAL NIGHT(×2)
GUTS!,目まぐるしく回る　迷い掻き分けて確かな正解(こたえ)なんて　見つかるはずもなくて夢を見ることも　容易(たやす)くはないさ耳を澄ましてみれば　心がざわめいていた光の無い　荒野を独り　いざ行け握り締めた手の中には　君の言葉雨に打たれ　風に吹かれ　僕らは叫ぶVIVA 青春　胸を張れ　いつでも変えられるさイチニのサンで　さあ前を向け　常識なんて吹き飛ばせVIVA 青春　立ち上がれ　君はひとりじゃないさ僕らだけの革命を　夢と希望のパレード　歓びへと舵を取れ答えが間違いでも　その勇気があれば真実はいつだって　ひとつだけじゃ終わらない風を受けて　飛び立つ君に　幸あれ人は誰も弱いものさ　泣いてるんだよ雨は上がり　幕も上がり　僕らは誓うVIVA 青春　咲き誇れ　全てを変えられるさイチニのサンで　さあ走り出せ　やりたいように突き進めVIVA 青春　声上げろ　まだまだ諦めるなどんな小さい希望でも　明日のためのエール　心でぎゅっと抱き締めて嵐の中　闘う友よ　いざ行け握り締めた手の中には　君の言葉雨に打たれ　風に吹かれ　僕らは向かうVIVA 青春　胸を張れ　いつでも変えられるさイチニのサンで　さあ前を向け　常識なんて吹き飛ばせVIVA 青春　立ち上がれ　君はひとりじゃないさ僕らだけの革命を　夢と希望のパレード　歓びへと舵を取れ
