曲名,歌詞
青空の下、キミのとなり,グルグル彷徨って混ざって　暗闇にほどけて(街は隠すだけ)名前も見えない他人の情報が　視線返すなんで狂おしいのに不安がって　希望も忘れ(曇り空のように)騒々しい僕らはBABE　帰る家はどこに？潜み続ける永遠の影　誰もが交差する街並み無限の点を繋ぐ　その真ん中で　君と飛べない　届かない　空はない掴めない　見れない　夢もないアンサンブルはMY LIFE　かけがえないMY TIME隣にいよう　そっと　ずっと消えない　色のない　虹はないいらない　必要のない　人はいない見つけた光を辿って　君と君と　つながっていたいんだどこかで途切れ散らかって　この空に浮かべて(痛み隠すように)出口も見えない世間の失望が　視線おとす掻き消された言葉の向こう　遥か遠い場所まで …ようこそ！眠れない夜を越えた　その感情で　君と癒えない　解けない　傷はない動かない　移らない　時代もない真実だけをMY LIFE　見つけたいよMY TIME守りたいから　そっと　ずっとバレない　伝わんない　嘘はない迷わない　間違えのない　人はいない恐れる事なんてないよ　君と君と　つながっていたいんだ答えなんて　見えないやだからここにいるんだ　君と飛べない　届かない　空はない掴めない　見れない　夢もないアンサンブルはMY LIFE　かけがえないMY TIME隣にいよう　そっと　ずっと消えない　色のない　虹はないいらない　必要のない　人はいない見つけた光を辿って　君と君と　つながっていたいんだいたいんだ
アオゾラペダル,思い切りふんづけた　ペダルはまるで空を飛べそうなくらい　勢いをつけてまわったうしろに乗せた君の　まわした腕がぼくのこといつもより　強く抱きしめた気がしたあの日の風の色は　思い出せるけれどあの時のユメと日々は　ずっとくすんだまま明日を眩しいくらいに　うまく描こうとしてぼくらはキレイな色をぬりすぎたみたい…ちょっとカッコ悪いことも　こわれたユメの色もパレットに広げ　もう一度明日を描こう川沿いずっと下って　立ち入り禁止の柵を越え河川敷の　先までペダルをこいだ自転車を投げ捨てて　見上げた空鮮やかなその色は　心から消えないのにあの時の君の笑顔　思い出そうとしてもなんかうまくいかなくて　いつも途切れてしまう悲しいページなんて　なかったことにしようとしてぼくらはいくつも色をかさねてしまった…きっとぬりすぎた色って　白に戻れないけどそれでいい　新しい色で明日を描こう明日を眩しいくらいに　うまく描こうとしてぼくらはキレイな色をぬりすぎたみたい…ちょっとカッコ悪いことも　こわれたユメの色もパレットに広げ　もう一度明日を描こうきっとぬりすぎた色って　白に戻れないけどそれでいい　新しい色で明日を描こう
証,あの日　ぼくは夢を　ただ追いかけながらがむしゃらにこの日を　ただ見つめたどこまでも行ける　どこへでも行けるここに　秘めた勇気を　今この刹那に遠く誓った景色が　あの頃のままぼくの前に広がってるから数えきれない涙と強がりをひとり重ねて　空を目指したんだろう誰もが届かないもの　この手なら掴めるとどこまでも　どこまでも　ずっと　描き続けた夢をああ　溢れ出す力　越えてゆく心遥か　戦いのステージ限界の向こうで　歓喜(よろこび)の叫びをあの日　追いかけたあの場面が　ここにあるから誰もが　この背中　追いかけて来るならぼくはまだ見ぬ明日　この道を歩き続けて行こう自分を信じて立ち止まることさえ知らない誇りは高鳴る魂　衝き動かすんだろう偽りの無い鼓動が　今瞬間(とき)を刻むようにいつまでも　いつまでも　きっと　語り継がれる軌跡ああ　溢れ出す力　越えてゆく心永遠(とわ)に　届けるメッセージ輝ける未来へ　喜びを繋げてずっと　走り続けた証は　そこにあるからありのまま存在を　ありのままの感情を背負った思いを今ここに　解き放て静寂の瞬間が　満たしてく感動を自分さえ越えて　羽ばたけああ　溢れ出す力　越えてゆく心遥か　戦いのステージ限界の向こうで　歓喜(よろこび)の叫びをあの日　追いかけたあの場面が　ここにあるから
明日に向かって,明日に向かって生きていくのさ先の事なんて誰も知らない僕らの明日へ飛んで行くのさこうして今日もいい日になれI'm so feel君といればあの夏をふと思い出したよどんな些細なことだって大袈裟に話したこれからもきっとこうしていられるよってそう感じているのは君だけじゃないよ明日に向かって生きていくのさ先の事なんて誰も知らない僕らの明日へ飛んで行くのさこうして今日もいい日になれI'm so feelいつものようにはしゃぎまわって疲れたねと君がその笑顔が僕にはきっと何よりの宝さこの時がずっと止まればいいなんてねそう感じているのは君だけじゃないよ僕らそれぞれの道を行くけど必ずどこかでつながってるんだだから時々は話し合おうよ負けそうな時は思い出してIt's all right明日に向かって生きていくのさ先の事なんて誰も知らない僕らの明日へ飛んで行くのさこうして今日もいい日になれI'm so feel僕らの明日へ飛んで行くのさこうして今日もいい日になれI'm so feel
明日の記憶,あの日　君と見ていた　夕焼け永遠にしたくて記憶の中　手を伸ばして　何度も触れようとするけれど同じ景色も気持ちも　二度とは取り戻せないから輝いてた過去の夢を　振り返ってしまうんだろうまっさらな未来にさえ　悲しみが零(こぼ)れ出してこころを滲ませるから　誰もが立ち止まり見失ってしまうよめぐりめぐる季節の途中で何色の明日を描きますか？強く強く信じ合えたなら何色の未来が待っていますか？大切な思い出さえ　いつかは色褪(あ)せてくから現実から目を逸らして　夢という言葉に逃げた傷つき壊れた昨日が　過ちだったとしても手遅れではないから　何度も初めからやり直してゆけばいいめぐりめぐる時代の途中で何度　人を好きになれるのだろう？深く深く支え合えたなら君のために何ができるのだろう？重ね合った心の奥に喜びと悲しみ　温(ぬく)もりと憎しみ僕らが巡り会い　分かち合った日々は確かにこの胸に焼きついているからめぐりめぐる季節の途中で何色の明日を描きますか？強く強く信じ合えたなら何色の未来が待っていますか？何色の明日を描きますか？
Asterisk,"夢は Past time　First time　Earth から Searchableいざミステリー　Space の Pulse夢に Flash light　降らせば　いま Search lightHuman mystery　Be with youSupernova　大いなる World　Take off してStarting over　行こう　常に Next stage　アスタリスク描こう星も眠る宙(そら)の果てに　君と二人漂うように愛を求め脈打つ Everything　幾千もの時空(とき)を越えてUniverse Universe　未知との Faraway想像せよ　きっと Never never never seen the placeSatellite Satellite　君だけを見て応答せよ　心の軌道に乗せてCome on　解き放てよ Speed of light　遥か未来の InnovationI'm in galaxy　It's not fantasy　君に見せるよ瞬き続ける Promises　君と探した Eternity巡り巡る Around the sun　惹かれ合う DestinyUniverse Universe　永遠なる場所で共鳴せよ　ずっと Never never never make you cryGalileo Galileo　塗り替えてく Sense証明せよ　もっと Deeper deeper deeper　進めBreaking down　そこは音を無くしてClose your eyes　それは心に奏でUniverse Universe　高鳴るままに想像せよ　創造せよ　まだまだその先へ輝きすらも乗っ取ったブラックホール穏やかに微笑む太陽僅かにも射し込んだ外光　(Universe, Never stop, Let it go, We go)星に力与えよ shining on黒き闇のいっそいない方幾重に重なっている時代を現在(いま)見るのはどんな未来像　(Universe, Never stop...)解放 Everybody clap yo身体を抜ける光のシャワー 駆け抜けてゆくトンネルの中“gather” 触れるこの肌呼びかけ続けてる星空か身体を抜ける光のシャワー 駆け抜けてゆくトンネルの中“gather” 触れるこの肌見てる星空がCome on　解き放てよ Speed of light　遥か未来の InnovationI'm in galaxy　It's not fantasy　君に見せるよ瞬き続ける Promises　君と探した Eternity巡り巡る Around the sun　惹かれ合う Destiny夢は Past time　First time　Earth から Searchableいざミステリー　Space の Pulse夢に Flash light　降らせば　いま Search lightHuman mystery　Be with youSupernova　大いなる World　Take off してStarting over　行こう　常に Next stage　アスタリスク描こう"
明日に向かって吠えろ,明日に向かって吠えろ　ダメな昨日を捨てて行こうつまずきながら骨折って前見て進もう　時代をタフに生きろ「なんかいい事ない?」　なんて言ってるうちは　あるワケないんだ現実は　そーゆーもんだ「かゆいトコないですか?」　耳の後ろ気になるのに「はい。」とまた答えた恋は面倒だとか言ってる時が誰よりも実はしたかったりして本音　弱味　下ゴコロに忘れたいこと　etc.人は見せられない物　たくさん隠して生きてる明日に向かって吠えろ　何かやらなきゃ始まらない冷たいヤツもいるけど　ひとりじゃないから　妥協にケリを入れろ「なんかいい事ない?」　なんて言ってるうちは　あるワケないんだ現実は　そーゆーもんだ「立派になりなさい。」　言ってるあなたがなりなさいなんて言えないけど好きになれば　いつも付録付きのオトコがいてNEXTバッターサークルで　素振りして力尽きんだ明日に向かって吠えろ　いつか泣き見て得しよういざという時出せない実力嘆かず…憂鬱にカタをつけろ　心のぜい肉燃やして初めて人に好きだと伝えた強さを取り戻そう明日に向かって吠えろ　ダメな昨日を捨てて行こうつまずきながら骨折って前見て進もう　時代をタフに生きろ「なんかいい事ない?」　なんて言ってるうちはあるワケないんだ　現実は明日に向かって吠えろ　ダメな昨日を捨てて行こうつまずきながら骨折って前見て進もう時代をタフに生きろ　悔しい思いを忘れるな自転車撤去されてもぜんぜん気にしないそれは無理だ
Ups and Downs,這い出るように Wake up　背中にしがみつく Tirednessハリキリすぎた Last night　切ない　後悔We can not rewind the time人生は　まるでカーニバル　気づけば祭りのあと愛して　愛されてFall　ふたつとないアトラクションA ha　見つめる場所が　A ha　アベレージではA ha　超えていけない　そう　キズついても挑めボーダーライン(Go up and down！)　届くまで何度も Cry and Try(You're just fine)　Don't give up！規定通りの演技など　打ち破れ BURN！サイコーもサイテーもMy lifeShake it up baby！　Shake it up baby！涙は喜びへのOne-way road昨日と同じ Bus stop　曜日もあやふやな Day by day飲み込まれてたまるか　儚い　消せないWe can not rewind the time人生は　夢のカーニバル　手に汗握る大激闘追われて　追い抜いて Fall　ふたつとないシーソーゲームA ha　見上げる夜空　A ha　星はなくてもA ha　雲の向こうで　そう　輝いてる言葉はいらない(Go up and down！)　踏み出せば風向きは Behind(You're just fine)　Don't give up！想定外のカウンターで　突き進め BURN！酸いも甘いもYour lifeShake it up baby！　Shake it up baby！カナシミは煌めきへのOne-way road誰もが違う思いを抱えながら　絶望と希望を繰り返し挑めボーダーライン(Go up and down！)　届くまで何度も Cry and Try(You're just fine)　Don't give up！規定通りの演技など　打ち破れ！(打ち破れば)言葉はいらない(Go up and down！)　踏み出せば風向きは Behind(You're just fine)　Don't give up！想定外のカウンターで　突き進め BURN！酸いも甘いもYour lifeShake it up baby！　Shake it up baby！カナシミは煌めきへのOne-way road
Up to you,"Put your hands together! All for you!Do it all together! Song for you!Ticktack 時はノンストップ　Knock Knock 聞こえるだろう?　さあここにおいでAlright 楽しいこと We love ときめくこと　もっと探しにゆこう笑うことさえも忘れちゃだめさ　弾む心 Bounce Bounce Bounce Bouncestand up どんな季節(とき)も Fine day 何があっても 感じるままに踊るだけ何度も羽ばたく君ならFly (High!) 誰かがきっと見守ってるから言い訳してた昨日に Good-bye　深呼吸したらOff we go! (Alright! Here we go!)心も体も追い風に乗って Pop up 弾む Music (All for you!)君にしか出来ないとびきりの笑顔　見せてよ Wow Wow (All for you!)きっと未来は変えてゆけるさ　涙拭いたなら Don't look back and go! (Go!)本当の自分を取り戻そう Don't stop music! いつまでもBlowing どんな風も No doubt 乗ってくんだろう? さあどっちに行こう?もっと知りたいこと　もっとやりたいこと　増えてゆくからやめられない!土砂降りの後も心はFly (High!) 僕らはずっとここにいるから素敵な夢を明日へ Good night 星に願いをかけて (Alright! Here we go!)心に響け! 手と手繋いだら Catch up 運ぶ Music (Song for you!)君にしか出来ないとびきりの笑顔　見せてよ Wow Wow (Song for you!)僕ら一緒に越えて行けるよ　心配ないのさ Don't look back and go! (Go!)褪せることない永遠(とわ)に君と Don't stop music! いつまでもHey! 他には用はないしょうがないな　このまま All the time, tonight君とDance in the world(向こうの方　もうsquallのよう)身体が饒舌 so let's goですその先へ心も体も追い風に乗って Pop up 弾む Music (All for you!)君にしか出来ないとびきりの笑顔　見せてよ Wow Wow (All for you!)きっと未来は変えてゆけるさ　涙拭いたなら Don't look back and go! (Go!)本当の自分を取り戻そう Don't stop music! いつまでもPut your hands together! All for you!Do it all together! Song for you!"
a Day in Our Life,時は巡り日をめくり　君はとっくにどこか遠くにあー想い届かない君はもう来ない　でも忘れないALL NIGHTYO　日差しより眩しいくらい　君の輝きどれくらい？　Ye!近すぎて見えないもの　時が過ぎて見えてきたこと手と手つなぎ合わせる空気が　張りつめて引き寄せる勇気が音を立てて崩れさる　胸の鼓動を高ぶらす今は愛(いと)し恋し君にもう少し　あの頃と違う自分あと少し届けるよー　伝えるよー　響かすよー　Ye!(I LOVE YOU 今でも君を　ENDLESS LOVEいつか...　君は...　僕の元へ)全身ぜんれい目指してく WAY自分取り戻す為に上新しい何かを見つけるねぇきっとまた巡り会う Someday(×3)(あー切ない想いは過ぎてくあー今なら全て伝えるよ君の涙笑顔みんな全部手と手つなぐ君をそばにいつも感じていたいんだ)君を想う朝続く切なさ　心にはカサかぶせたままさRide on　今乗り込もうぜ　平穏な日々いらないぜチクチクチクタク刻む時計　It's OK　気にせずほっとけー変わらない気持ち常に直線だ　終わらない想いすでに極限だいつか君がまたそばに　そんな時誓うよ永遠(とわ)にまさに譲れない　完全に揺るぎない今は愛(いと)し恋し君にもう少し　あの頃と違う自分あと少し届けるよー　伝えるよー　響かすよー　Ye!(I LOVE YOU 今でも君を　ENDLESS LOVEいつか...　僕は...　僕の元へ)あー切ない想いは過ぎてくあー今なら全て伝えるよ君の涙笑顔みんな全部手と手つなぐ君をそばにいつも感じていたいんだ全身ぜんれい目指してく WAY自分取り戻す為に上新しい何かを見つけるねぇきっとまた巡り会う Someday(×3)全身ぜんれい目指してく WAY自分取り戻す為に上新しい何かを見つけるねぇきっとまた巡り会う Someday(×3)君の涙笑顔みんな全部手と手つなぐ君をそばにいつも感じていたいんだ
